1    |BD+36 4301                         |10.6926   |     ~   |9.98     |9.37     |     ~   |     ~   |G1V              
2    |HD 200466B                         |22.2515   |     ~   |9.338    |8.57     |8.1      |     ~   |K0V              
3    |BD+35 4414                         |      ~   |     ~   |9.861    |9.771    |9.745    |     ~   |A0V              
4    |BD+36 4320                         |2.2213    |     ~   |10.54    |10.34    |     ~   |     ~   |A2V              
5    |* 61 Cyg B                         |286.0054  |8.63     |7.40     |6.03     |4.86     |3.55     |K7V              
6    |* 61 Cyg A                         |285.9949  |7.50     |6.39     |5.21     |4.19     |3.54     |K5V              
7    |G 211-14                           |49.1048   |     ~   |13.32    |11.946   |11.63    |     ~   |M2.5V            
8    |BD+38 4384                         |1.7233    |     ~   |10.53    |10.18    |     ~   |     ~   |A1V              
9    |BD+38 4388                         |1.784     |     ~   |10.95    |10.83    |     ~   |     ~   |A0V              
10   |HD 203856                          |6.3232    |     ~   |7.33     |7.21     |     ~   |     ~   |A0V              
11   |HD 203696                          |6.4943    |     ~   |6.643    |6.617    |     ~   |     ~   |A1V              
12   |BD+38 4447                         |2.3199    |     ~   |10.60    |10.43    |     ~   |     ~   |A3V              
13   |BD+37 4316                         |1.4608    |     ~   |10.61    |10.46    |     ~   |     ~   |A0V              
14   |L 1578-44                          |48.2934   |     ~   |     ~   |10.18    |     ~   |     ~   |M0V              
15   |BD+39 4578                         |1.7093    |     ~   |10.94    |10.75    |     ~   |     ~   |A1V              
16   |HD 206656                          |8.30      |     ~   |     ~   |     ~   |     ~   |     ~   |F2V              
17   |BD+40 4631                         |50.4101   |     ~   |11.11    |9.674    |9.231    |     ~   |K8V              
18   |* 76 Cyg                           |7.3274    |     ~   |6.132    |6.075    |     ~   |     ~   |A2V              
19   |HD 207966B                         |33.7352   |     ~   |     ~   |     ~   |10.789   |     ~   |M0.5V            
20   |G 215-20                           |39.3117   |     ~   |11.68    |     ~   |9.846    |     ~   |M0.5V            
21   |G 215-30                           |48.6133   |     ~   |13.8     |     ~   |12.376   |     ~   |M3.0V            
22   |Ross 223                           |24.8941   |     ~   |11.662   |10.435   |9.977    |     ~   |K6V              
23   |BD+43 4301                         |4.6799    |     ~   |10.62    |10.12    |     ~   |     ~   |F4V              
24   |TYC 3226-878-1                     |2.3851    |     ~   |11.69    |10.94    |     ~   |     ~   |F6V              
25   |HD 214608                          |26.18     |     ~   |7.38     |     ~   |6.5      |     ~   |F9V              
26   |HD 216608B                         |      ~   |     ~   |8.30     |7.72     |     ~   |     ~   |F6V              
27   |HD 217491                          |1.7835    |7.060    |6.780    |6.490    |     ~   |     ~   |A3V              
28   |HD 218868                          |42.464    |8.150    |7.750    |     ~   |6.5      |     ~   |G8V              
29   |BD+45 4132A                        |4.4765    |     ~   |9.87     |9.28     |9.18     |     ~   |F5V              
30   |BD+45 4188                         |42.0397   |     ~   |     ~   |     ~   |10.417   |     ~   |M0.5V            
31   |TYC 3229-143-1                     |14.7251   |     ~   |10.80    |9.94     |     ~   |     ~   |K0V              
32   |BD+45 4223                         |1.3004    |     ~   |11.93    |10.60    |     ~   |     ~   |K5V              
33   |Ross 247                           |24.7352   |     ~   |14.7     |     ~   |12.948   |     ~   |M1.5V            
34   |V* V662 And                        |8.4944    |     ~   |11.23    |10.59    |     ~   |     ~   |K0V              
35   |BD+45 4222                         |0.5771    |     ~   |10.98    |9.87     |     ~   |     ~   |K0V              
36   |BD+46 4091                         |1.1276    |     ~   |11.742   |10.683   |10.379   |     ~   |K0V              
37   |BD+45 4281                         |0.7851    |     ~   |11.38    |9.80     |     ~   |     ~   |K0V              
38   |BD+44 4456                         |1.2355    |     ~   |11.30    |10.31    |     ~   |     ~   |K0V              
39   |BD+45 4378                         |58.4067   |     ~   |11.02    |9.78     |9.25     |     ~   |K7V              
40   |HD 556A                            |6.4680    |     ~   |7.98     |7.82     |7.76     |     ~   |A3V              
41   |HD 38B                             |86.8206   |     ~   |10.34    |8.995    |     ~   |     ~   |M0.5V            
42   |HD 38A                             |86.8003   |     ~   |10.17    |8.826    |     ~   |     ~   |K6V              
43   |HD 225291B                         |13.6563   |     ~   |10.06    |9.31     |     ~   |     ~   |G5V              
44   |HD 556                             |6.68      |     ~   |     ~   |     ~   |     ~   |     ~   |A4V              
45   |* pi. Cas                          |18.6293   |     ~   |5.120    |4.949    |     ~   |4.79     |A5V              
46   |G 172-13                           |43.9      |     ~   |13.27    |11.71    |11.25    |     ~   |M2.0V            
47   |G 172-30                           |76.1101   |     ~   |13.19    |11.972   |11.568   |     ~   |M3.0V            
48   |G 172-28                           |34.5644   |     ~   |     ~   |     ~   |10.595   |     ~   |M0V              
49   |TYC 3262-1253-1                    |0.7012    |     ~   |11.71    |11.96    |     ~   |     ~   |A5VSrEu          
50   |TYC 3262-1820-1                    |9.1252    |     ~   |10.26    |9.68     |10.3     |     ~   |G2V              
51   |BD+44 321                          |5.4053    |     ~   |11.02    |10.60    |     ~   |     ~   |F5V              
52   |HD 9127                            |1.4444    |     ~   |10.35    |10.04    |     ~   |     ~   |A5V              
53   |HD 9258                            |1.4413    |     ~   |10.94    |9.98     |     ~   |     ~   |G5V              
54   |BD+44 333                          |2.3638    |     ~   |10.95    |10.50    |     ~   |     ~   |F0V              
55   |HD 9442                            |0.9519    |     ~   |11.06    |9.91     |     ~   |     ~   |G5V              
56   |HD 9646                            |1.9656    |     ~   |10.67    |9.63     |     ~   |     ~   |G5V              
57   |HD 9322                            |3.012     |     ~   |10.06    |9.73     |     ~   |     ~   |A4V              
58   |HD 8671                            |23.4377   |     ~   |6.464    |5.978    |     ~   |     ~   |F7V              
59   |BD+43 348                          |2.5283    |     ~   |9.65     |9.36     |     ~   |     ~   |A5V              
60   |V* EP And                          |2.4486    |     ~   |11.81    |11.40    |     ~   |     ~   |F8V              
61   |LP 195-25                          |24.748    |     ~   |11.88    |     ~   |10.319   |     ~   |K4V              
62   |BD+43 339                          |0.626     |     ~   |11.39    |9.59     |     ~   |     ~   |K7V              
63   |BD+43 341                          |19.6389   |     ~   |     ~   |     ~   |8.4      |     ~   |G8V              
64   |BD+43 357                          |2.0477    |     ~   |10.10    |9.17     |     ~   |     ~   |G8V              
65   |BD+43 369                          |1.0158    |     ~   |11.45    |10.54    |     ~   |     ~   |F5V              
66   |HD 9622                            |8.8005    |     ~   |9.38     |8.81     |     ~   |     ~   |G0V              
67   |HD 9711                            |1.9288    |     ~   |10.03    |9.98     |     ~   |     ~   |A0V              
68   |BD+42 329                          |0.9207    |     ~   |10.07    |9.98     |     ~   |     ~   |A3V              
69   |BD+42 343                          |1.1552    |     ~   |11.51    |10.14    |     ~   |     ~   |K0V              
70   |BD+42 351                          |6.4232    |     ~   |10.02    |9.30     |     ~   |     ~   |G5V              
71   |BD+42 354                          |0.7254    |     ~   |10.71    |8.98     |     ~   |     ~   |G8V              
72   |BD+42 363                          |1.6189    |     ~   |10.99    |9.95     |     ~   |     ~   |G5V              
73   |HD 10307                           |68.0244   |5.69     |5.58     |4.96     |4.43     |4.10     |G1V              
74   |BD+44 343                          |3.4705    |     ~   |10.14    |9.82     |     ~   |     ~   |A4V              
75   |HD 9823                            |2.5186    |     ~   |10.23    |8.99     |     ~   |     ~   |K0V              
76   |HD 9710                            |2.9583    |     ~   |10.57    |10.22    |     ~   |     ~   |F5V              
77   |BD+42 324                          |4.1687    |     ~   |11.38    |10.67    |     ~   |     ~   |G0V              
78   |BD+41 316                          |2.3587    |     ~   |10.48    |10.02    |     ~   |     ~   |F8V              
79   |BD+41 327                          |3.2473    |     ~   |10.22    |9.77     |     ~   |     ~   |A7V              
80   |V* V542 And                        |15.4645   |     ~   |11.32    |10.34    |9.81     |     ~   |K2V              
81   |BD+43 360                          |2.4698    |     ~   |9.89     |9.63     |     ~   |     ~   |A2V              
82   |BD+43 383                          |2.1805    |     ~   |10.30    |9.18     |     ~   |     ~   |G8V              
83   |BD+43 384                          |3.641     |     ~   |9.86     |9.49     |     ~   |     ~   |A5V              
84   |BD+42 381                          |1.86      |     ~   |10.66    |10.42    |     ~   |     ~   |A7V              
85   |BD+42 383                          |4.451     |     ~   |11.79    |10.69    |     ~   |     ~   |G5V              
86   |BD+42 384                          |1.5652    |     ~   |10.95    |9.92     |     ~   |     ~   |G2V              
87   |BD+41 344                          |16.4004   |     ~   |10.60    |9.68     |     ~   |     ~   |F5V              
88   |BD+43 395                          |22.6354   |     ~   |10.51    |     ~   |9.1      |     ~   |K2V              
89   |HD 11095                           |3.2433    |     ~   |8.51     |8.42     |     ~   |     ~   |A1V              
90   |BD+43 375                          |12.5335   |     ~   |10.02    |9.29     |     ~   |     ~   |G0V              
91   |BD+41 343                          |3.0988    |     ~   |11.22    |10.67    |     ~   |     ~   |F2V              
92   |HD 11027                           |6.0463    |9.070    |9.030    |8.680    |     ~   |     ~   |F2V              
93   |BD+40 379                          |1.6405    |     ~   |11.57    |10.52    |     ~   |     ~   |K0V              
94   |V* V450 And                        |37.8945   |     ~   |7.880    |7.21     |7.71     |     ~   |G5V              
95   |HD 13531                           |38.3338   |     ~   |8.06     |7.36     |     ~   |     ~   |G7V              
96   |HD 16176                           |18.3499   |     ~   |6.38     |     ~   |5.6      |     ~   |F5V              
97   |HD 16760                           |17.5714   |     ~   |9.45     |8.76     |     ~   |     ~   |G2V              
98   |HD 16760B                          |20.087    |     ~   |11.25    |10.27    |     ~   |     ~   |K2V              
99   |* 20 Per                           |14.15     |     ~   |5.742    |5.343    |     ~   |     ~   |F6V              
100  |V* LS Per                          |1.0155    |     ~   |11.84    |11.11    |11.26    |     ~   |K0V              
101  |BD+40 883B                         |      ~   |     ~   |     ~   |     ~   |     ~   |     ~   |M0.5V            
102  |BD+39 4409                         |1.4375    |     ~   |11.11    |10.89    |     ~   |     ~   |A0V              
103  |HD 203454                          |37.468    |     ~   |6.93     |     ~   |6.1      |     ~   |F8V              
104  |TYC 3172-643-1                     |14.5489   |     ~   |11.30    |10.32    |     ~   |     ~   |K3V              
105  |BD+40 4390                         |2.0511    |     ~   |10.42    |10.25    |     ~   |     ~   |A0V              
106  |BD+39 4452                         |1.951     |     ~   |10.79    |10.64    |     ~   |     ~   |A1V              
107  |IDS 21209+4040 AB                  |      ~   |     ~   |9.5      |     ~   |     ~   |     ~   |A3V              
108  |TYC 3196-763-1                     |4.5144    |     ~   |11.87    |11.67    |     ~   |     ~   |F7V              
109  |[M96a] SS Cyg star 3               |      ~   |     ~   |     ~   |13.36    |     ~   |     ~   |F0V              
110  |TYC 3196-857-1                     |2.8561    |     ~   |11.35    |10.86    |     ~   |     ~   |F8V              
111  |[M96a] SS Cyg star 12              |0.4245    |     ~   |     ~   |15.11    |     ~   |     ~   |K0V              
112  |[M96a] SS Cyg star 14              |      ~   |     ~   |     ~   |12.92    |     ~   |     ~   |G0V              
113  |V* SS Cyg                          |8.8541    |11.07    |12.651   |12.032   |9.326    |     ~   |K5V              
114  |BD+45 3750                         |13.9006   |     ~   |10.22    |9.42     |8.9      |     ~   |K1V              
115  |HD 209932                          |5.1499    |     ~   |6.458    |6.494    |     ~   |     ~   |A0V              
116  |BD+44 3974                         |8.6227    |     ~   |10.03    |9.36     |     ~   |     ~   |G1V              
117  |HD 209993                          |10.7221   |     ~   |6.248    |6.181    |     ~   |     ~   |A3V              
118  |TYC 3606-459-1                     |2.2735    |     ~   |9.93     |9.70     |     ~   |     ~   |A5V              
119  |HD 215399                          |7.0228    |     ~   |9.13     |8.72     |     ~   |     ~   |F1V              
120  |HD 215772                          |8.8246    |     ~   |9.16     |8.73     |     ~   |     ~   |F5V              
121  |* 7 And                            |40.2940   |4.85     |4.81     |4.52     |4.23     |4.07     |F1V              
122  |* 5 And                            |29.0956   |     ~   |6.14     |     ~   |5.4      |     ~   |F5V              
123  |HD 218739                          |32.9913   |     ~   |     ~   |     ~   |6.7      |     ~   |G1V              
124  |BD+46 4071                         |1.4143    |     ~   |11.51    |10.52    |     ~   |     ~   |K0V              
125  |BD+49 4132                         |1.165     |     ~   |11.48    |10.53    |     ~   |     ~   |K5V              
126  |BD+48 4050                         |1.3887    |     ~   |11.94    |10.81    |     ~   |     ~   |K5V              
127  |BD+48 4081                         |1.3801    |     ~   |11.50    |10.45    |     ~   |     ~   |G5V              
128  |BD+47 4154                         |1.195     |     ~   |10.85    |9.68     |     ~   |     ~   |K5V              
129  |HD 222570                          |4.8422    |6.590    |6.430    |6.260    |     ~   |     ~   |A4V              
130  |V* AD And                          |0.928     |     ~   |11.34    |11.14    |     ~   |     ~   |A0V              
131  |HD 224465                          |40.7348   |     ~   |7.30     |     ~   |6.3      |     ~   |G4V              
132  |Ross 249                           |61.2574   |     ~   |13.69    |     ~   |10.9     |     ~   |M3V              
133  |HD 6645B                           |3.4181    |     ~   |11.04    |10.25    |     ~   |     ~   |F8V              
134  |G 172-35                           |33.6002   |     ~   |15.2     |12.74    |12.260   |10.53    |M1.5V            
135  |V* V359 And                        |33.6030   |     ~   |     ~   |     ~   |10.406   |     ~   |K7V              
136  |HD 9801                            |11.1131   |     ~   |10.70    |9.91     |     ~   |     ~   |G5V              
137  |BD+46 387                          |3.7649    |     ~   |10.85    |10.37    |     ~   |     ~   |F2V              
138  |BD+46 406                          |1.9243    |     ~   |11.33    |10.78    |     ~   |     ~   |A1V              
139  |BD+46 418                          |3.7186    |     ~   |9.71     |9.53     |     ~   |     ~   |A2V              
140  |BD+46 420                          |3.3043    |     ~   |11.04    |9.95     |     ~   |     ~   |K0V              
141  |HD 10321                           |3.2164    |     ~   |9.32     |9.16     |9.27     |     ~   |A0V              
142  |BD+46 434                          |1.4107    |     ~   |10.50    |10.26    |     ~   |     ~   |A2V              
143  |BD+46 444                          |2.7709    |     ~   |10.42    |9.98     |     ~   |     ~   |F2V              
144  |HD 9726                            |1.8398    |     ~   |9.37     |9.33     |     ~   |     ~   |A0V              
145  |HD 9861                            |6.8527    |     ~   |8.26     |7.83     |     ~   |     ~   |F5V              
146  |HD 9977                            |8.2902    |     ~   |9.13     |8.54     |     ~   |     ~   |G0V              
147  |HD 9621                            |1.2933    |     ~   |9.19     |9.19     |     ~   |     ~   |A1V              
148  |HD 9761                            |8.7161    |     ~   |10.83    |10.19    |     ~   |     ~   |G2V              
149  |HD 9935                            |3.2652    |     ~   |8.69     |8.61     |     ~   |     ~   |A1V              
150  |HD 10086                           |47.5821   |     ~   |7.30     |     ~   |6.2      |     ~   |G5V              
151  |BD+45 411                          |14.0472   |     ~   |9.61     |9.03     |     ~   |     ~   |G2V              
152  |BD+46 377                          |3.417     |     ~   |11.02    |10.31    |     ~   |     ~   |G0V              
153  |BD+46 381                          |3.3679    |     ~   |9.77     |9.43     |     ~   |     ~   |A5V              
154  |BD+44 351                          |20.0296   |     ~   |9.38     |8.60     |     ~   |     ~   |G8V              
155  |BD+43 367                          |      ~   |     ~   |10.1     |9.9      |     ~   |     ~   |A0V              
156  |BD+45 435                          |2.3072    |     ~   |10.12    |9.88     |     ~   |     ~   |A7V              
157  |BD+45 434                          |9.1946    |     ~   |10.73    |10.17    |     ~   |     ~   |G0V              
158  |HD 10874                           |18.4995   |     ~   |6.761    |6.317    |     ~   |     ~   |F6V              
159  |BD+45 448                          |      ~   |     ~   |     ~   |     ~   |     ~   |     ~   |K0V              
160  |BD+45 455                          |2.0799    |     ~   |9.81     |9.73     |     ~   |     ~   |A2V              
161  |BD+44 376                          |2.1961    |     ~   |10.21    |10.03    |     ~   |     ~   |A5V              
162  |BD+44 383                          |25.7595   |     ~   |10.53    |9.54     |     ~   |     ~   |K2V              
163  |BD+44 345                          |5.384     |     ~   |10.53    |9.59     |     ~   |     ~   |G5V              
164  |HD 10712                           |2.167     |     ~   |9.11     |7.99     |     ~   |     ~   |G5V              
165  |BD+45 420                          |1.9295    |     ~   |10.14    |9.18     |     ~   |     ~   |G5V              
166  |BD+45 422                          |1.8687    |     ~   |10.33    |9.35     |     ~   |     ~   |G8V              
167  |HD 10322                           |1.7457    |     ~   |9.90     |8.45     |     ~   |     ~   |K1V              
168  |G 134-1                            |51.4705   |     ~   |11.63    |10.239   |9.727    |8.48     |M0V              
169  |G 134-24                           |21.0435   |     ~   |14.4     |     ~   |13.031   |     ~   |M1V              
170  |2MASS J02121375+4439231            |0.6205    |     ~   |     ~   |11.91    |     ~   |     ~   |G5V              
171  |TYC 2842-24-1                      |      ~   |     ~   |10.89    |10.00    |     ~   |     ~   |K2V              
172  |* 12 Per                           |41.7962   |5.65     |5.51     |4.92     |4.42     |4.12     |F9V              
173  |HD 19301                           |10.0366   |     ~   |8.15     |7.85     |     ~   |     ~   |F3V              
174  |BD+37 729                          |12.2939   |     ~   |10.75    |10.05    |     ~   |     ~   |K0V              
175  |HD 275122                          |62.6417   |     ~   |11.75    |10.280   |9.821    |8.2      |M1.5V            
176  |HD 196850                          |36.6832   |     ~   |7.37     |     ~   |6.4      |     ~   |G1V              
177  |2MASS J20293713+3901559            |      ~   |     ~   |     ~   |     ~   |     ~   |     ~   |O4V              
178  |2MASS J20314548+3857592            |      ~   |     ~   |     ~   |     ~   |     ~   |     ~   |O7.5V            
179  |2MASS J20322700+3851255            |0.4443    |     ~   |     ~   |     ~   |     ~   |     ~   |O5.5V            
180  |G 210-38                           |29.1383   |     ~   |14.22    |12.842   |12.369   |10.36    |M3.0V            
181  |HD 199099                          |6.9086    |     ~   |6.640    |6.662    |     ~   |     ~   |A1V              
182  |G 212-12                           |33.7751   |     ~   |14.52    |     ~   |12.915   |     ~   |M2.5V            
183  |BD+41 3986                         |9.5448    |     ~   |9.21     |8.78     |     ~   |     ~   |F5V              
184  |[SKV93] 2-90                       |      ~   |     ~   |     ~   |11.93    |     ~   |     ~   |F5V              
185  |[SKV93] 2-91                       |      ~   |     ~   |     ~   |12.09    |     ~   |     ~   |F7V              
186  |[M60] +42 332                      |1.4035    |     ~   |12.13    |11.62    |     ~   |     ~   |F3V              
187  |TYC 3179-617-1                     |3.7133    |     ~   |11.25    |10.65    |     ~   |     ~   |F9V              
188  |[SKV93] 2-178                      |      ~   |     ~   |     ~   |12.28    |     ~   |     ~   |A0V              
189  |[SKV93] 2-181                      |      ~   |     ~   |     ~   |13.18    |     ~   |     ~   |G5V              
190  |[SKV93] 2-183                      |      ~   |     ~   |12.16    |     ~   |     ~   |     ~   |G1V              
191  |TYC 3179-323-1                     |1.495     |     ~   |12.00    |11.63    |     ~   |     ~   |F5V              
192  |BD+42 3924                         |1.922     |     ~   |10.92    |10.53    |     ~   |     ~   |A9V              
193  |TYC 3179-587-1                     |1.804     |     ~   |12.26    |11.51    |     ~   |     ~   |F5V              
194  |BD+42 3926                         |5.5802    |     ~   |10.55    |9.91     |     ~   |     ~   |G0V              
195  |[M60] +42 372                      |1.2457    |     ~   |11.80    |11.46    |     ~   |     ~   |A2V              
196  |TYC 3179-554-1                     |2.0131    |     ~   |11.77    |11.29    |     ~   |     ~   |A8V              
197  |[M60] +42 378                      |      ~   |     ~   |     ~   |11.68    |     ~   |     ~   |F0V              
198  |TYC 3179-299-1                     |2.6594    |     ~   |11.80    |11.40    |     ~   |     ~   |F8V              
199  |TYC 3179-257-1                     |3.775     |     ~   |12.63    |12.68    |     ~   |     ~   |G3V              
200  |TYC 3179-341-1                     |1.2242    |     ~   |12.26    |12.25    |     ~   |     ~   |A5V              
201  |TYC 3180-2405-1                    |2.7819    |     ~   |10.72    |10.22    |     ~   |     ~   |F6V              
202  |BD+42 3910                         |2.6739    |     ~   |11.14    |11.02    |     ~   |     ~   |F2V              
203  |BD+42 3922                         |1.921     |     ~   |11.74    |11.25    |     ~   |     ~   |F5V              
204  |BD+42 3925                         |3.4258    |     ~   |10.32    |9.89     |     ~   |     ~   |F3V              
205  |BD+42 3921                         |4.9584    |     ~   |10.61    |10.13    |     ~   |     ~   |F5V              
206  |BD+42 3933                         |6.0845    |     ~   |11.29    |10.77    |     ~   |     ~   |G0V              
207  |BD+40 4398                         |1.5222    |     ~   |11.17    |10.89    |     ~   |     ~   |A1V              
208  |HD 201456                          |13.9416   |     ~   |8.35     |7.88     |     ~   |     ~   |F8V              
209  |TYC 3181-914-1                     |4.3056    |     ~   |11.25    |10.50    |     ~   |     ~   |F8V              
210  |TYC 3591-1945-1                    |5.4732    |     ~   |12.24    |11.38    |11.26    |     ~   |G3V              
211  |HD 204814                          |32.7155   |     ~   |8.66     |     ~   |7.4      |     ~   |G8V              
212  |BD+47 3668                         |11.6502   |     ~   |     ~   |     ~   |9.8      |     ~   |K3V              
213  |NGC 7243 471                       |1.109     |     ~   |10.76    |10.7     |     ~   |     ~   |A0V              
214  |NGC 7243 476                       |1.0313    |     ~   |11.90    |11.59    |     ~   |     ~   |A2V              
